trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.2, 'e': 1.0}",25,0,-87.69134670643282,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
174,False,"{'a': 0.2, 'e': 1.0}",30,16,-86.43302272356568,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
175,False,"{'a': 0.2, 'e': 1.0}",20,0,-52.433929448415036,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
176,False,"{'a': 0.2, 'e': 1.0}",30,0,-165.64923346508422,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
177,False,"{'a': 0.2, 'e': 1.0}",25,0,-83.48388787945791,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
178,False,"{'a': 0.2, 'e': 1.0}",30,0,-127.49669633828036,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
179,False,"{'a': 0.2, 'e': 1.0}",20,0,-122.84180251699338,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
180,False,"{'a': 0.2, 'e': 1.0}",25,0,-164.59939854717499,"{0: 11, 1: 1, 2: 11, 3: 1, 4: 1}",0
181,False,"{'a': 0.2, 'e': 1.0}",20,0,-64.6418400613979,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
182,False,"{'a': 0.2, 'e': 1.0}",20,0,-179.98645330263125,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
183,False,"{'a': 0.2, 'e': 1.0}",30,11,-64.49785981629906,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 1}",1
184,False,"{'a': 0.2, 'e': 1.0}",20,0,-160.94758997866944,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
185,False,"{'a': 0.2, 'e': 1.0}",20,0,-147.92570947336844,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
186,False,"{'a': 0.2, 'e': 1.0}",20,0,-121.38876208096177,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
187,False,"{'a': 0.2, 'e': 1.0}",30,8,-99.55208793981454,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 1}",1
188,False,"{'a': 0.2, 'e': 1.0}",20,0,-114.69510926692111,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
189,False,"{'a': 0.2, 'e': 1.0}",20,0,-117.33771581279449,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
190,False,"{'a': 0.2, 'e': 1.0}",25,15,-25.23275213058906,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
